운전 배우다 원하다|운전교육 신청하러 오셨어요?
영수 모습 조금 무섭다|영수씨는 조금 무섭게 생겼군요
영수증 없다 면 환불 안되다|영수증이 없으면 환불 할 수 없어요
예매하다 면 새벽 부터 줄 기다리다 필요하다|예매하려면 새벽부터 줄을 서서 기다려야 하거든요
오늘 비 내리다 전 일찍 귀가하다|오늘은 비가 내리기 전에 일찍 귀가합시다
오다 못하다 면 전화 야|못 오면 전화라도 하지 그랬어요
익숙하다 되다 면 괜찮다|익숙해지면 괜찮겠지요
비 끝다다 면 덥다 시작|장마가 끝나면 무더위가 찾아온대요
저 복권 당첨되다 원하다|저는 복권에 당첨됐으면 좋겠어요
너 정말 산 좋다|정말 산을 좋아하는군요
조금 참다 면 좋다 결과 있다 아마|조금만 참으면 좋은 결과가 있을 거예요
좋다 제주도 결정|좋아요 그럼 제주도로 결정합시다
좋다 죽 과일 사 가져가다|좋아요 죽과 과일을 사 가지고 갑시다
집 사다 면 물어보다 어디|집을 사려면 어디에 물어봐야 하나요
취업 때문 걱정 많다|취업 때문에 걱정이 많군요
친구 결혼 그렇구나|친구가 결혼을 하는군요
돈 얼마|가격은 얼마입니까
감사합니다 내일 만나다|감사합니다 내일 봐요
감사합니다 특별 돈 주다|감사합니다 여기는 팁입니다
남다 돈 또 계산서 여기 있다|거스름돈과 계산서는 여기 있습니다
밤 쉬다 잘|좋은 밤 보내세요
또 오다 부탁|또 오십시오
이것 주다 부탁|그럼 이걸로 해주세요
이 돈 아침 포함 있다 무엇 알다 원하다|이 가격은 아침을 포함하는지 좀 알고 싶습니다
길 건너편 곳 하나 있다|길 건너편에 하나 있어요
감사합니다 좋다 사람 같다|네 감사합니다 참 좋으신 분이네요
네 손님 계산서 여기 있다|네, 손님, 계산서 여기 있습니다
네 손님 즉시 예약 돕다|네, 손님, 바로 예약해 드리겠습니다
네 내일 밤 방 하나 필요하다 남다 방 있다|네  내일 밤 방이 하나 필요한데 빈 방이 있나요
네 있다 방 무엇 필요하다|네 있습니다 어떤 방이 필요합니까
네 저희 호텔 방 탈퇴 승인 시간 2시|네 저희 호텔의 체크인 시간은 오후 2시 이후입니다
내일 만나다|내일 봐요
네 포함|네 포함합니다
손님 있다 기간 예상 언제|그리고 손님은 얼마나 머물 것으로 예상하십니까
 네 하지만 할인 어제 끝 죄송합니다|네 하지만 할인은 이미 어제 끝났습니다 죄송합니다
돕다 무엇|무엇을 도와드릴까요
미안하다 하지만 좋다 먹다 곳 추천 부탁|실례합니다 좋은 식당 좀 추천해주실래요
돈 계산 부탁|계산해주세요
매우 가깝다|아주 가까워요
알다 비싸다 없다 무엇|알겠어요 그럼 좀 덜 비싼 건 없나요
음식 무엇 먹다 원하다|어떤 음식을 드시고 싶으세요
없다 그것 가장 싸다 방|없습니다 그것은 가장 싼 스위트룸입니다
여기 있다|여기 있습니다
멀다|여기서 멀어요
가깝다 곳 한국 먹다 곳 있다|이 근처에 한국 식당이 있습니까
저 바다 보다 가능 방 좋다|저는 바다를 볼수 있는 방을 좋아합니다
좀 비싸다|좀 비싸네요
저 호텔 곳 할인 있다 듣다 끝|저는 호텔에서 할인을 해주고 있다고 들었는데요
최고 여기 곳 음식 먹다 곳 어디|최고의 로컬 푸드는 어디에서 먹을 수 있습니까
하루 자다 돈 250 달러|하룻밤에 250 달러입니다
3일 정도|한 3일 정도
호텔 가다 공항 버스 타다 어디|호텔로 가는 공항버스는 어디서 탑니까
걷다 시간 얼마|걸어서 얼마나 걸립니까
경찰서 어디|경찰서가 어디예요
계산 잘못 아마 이 돈 무엇|계산이 잘못 된 것 같아요 이 금액은 뭐예요
계산 하다|계산하겠습니다 
화장실 어디|공중화장실은 어디에 있습니까
관광 안내 책자 하나 주다 부탁|관광 안내 책자 하나 주세요 
관광 안내 곳 어디|관광 안내소가 어디입니까
뉴욕 곳 가장 유명하다 무엇|뉴욕에서 가장 유명한 것은 무엇입니까
다르다 물건 보다 주다|다른 것 좀 보여 주십시오 
다르다 방 바꾸다 부탁|다른 방으로 변경해 주십시오 
더 작다 치수 바꾸다 원하다|더 작은 치수로 바꾸고 싶습니다 
도난 신고 원하다|도난 신고를 하고 싶습니다 
도난 신고서 주다|도난 신고서를 발행해 주세요 
문구점 층 어디|문구점은 몇 층입니까
방 매우 춥다|방이 너무 춥습니다 
배 아프다|배가 아픕니다 
변기 고장|변기가 고장 났습니다 
분실물 센터 곳 어디|분실물 센터는 어디인가요
분실물 취급소 어디|분실물 취급소는 어디에 있어요
비싸다|비싸네요 
사고 신고서 주다|사고 신고서를 주세요 
선물 포장 부탁|선물 포장을 해 주십시오 
수건 더 주다 가능|수건을 더 줄 수 있을까요
시내 가다 택시 타다 어디|시내로 들어가는 택시는 어디서 타나요
시장 가다 출구 번호 무엇|시장으로 가려면 몇 번 출구로 나가야 하나요
시청 가다 버스 타다 어디|시청 가는 버스는 어디에서 타나요
시청 목적 표 두개 주다|시청행 두 장 주십시오 
신용 카드 가능|신용 카드로 계산해도 되나요
미안하다 하지만 이것 길 지하철역 도착 가능|실례지만, 지하철역까지 이 길로 가면 됩니까
찾다 계속 없다|아무리 찾아도 없습니다 
아침 먹다 언제|아침 식사는 언제 할 수 있습니까
어디 두다 잊다|어디에 두었는지 잊어버렸습니다 
어린이 의자 미리 준비|어린이 의자를 준비해 주십시오 
어제 점심 먹다 이후 부터|어제 점심 먹은 이후부터요 
기다리다 언제까지|얼마나 기다려야 합니까
여기 주문 부탁|여기 주문 받아 주십시오
여기 아프다|여기가 아픕니다 
여기 지도 곳 어디|여기가 이 지도에서 어디입니까
예약 원하다|예약을 하고 싶습니다
오늘 밤 시간 여섯 시 세 사람 자리 예약 원하다|오늘 밤 여섯 시에 세 사람 자리를 예약하고 싶습니다
왕복|왕복이에요 
가깝다 곳 전자 제품 매장 어디|이 근처에 전자 제품 매장이 있습니까
여기 가장 인기 메뉴 무엇|이 집에서 가장 인기 있는 메뉴는 뭐예요
이거 입다 괜찮다|이거 입어 봐도 됩니까
얼마|이건 얼마예요
이거 교환 원하다|이걸 교환하고 싶습니다 
이것 약 같다 무엇|이것과 같은 약 주세요 
입장료 얼마|입장료는 얼마입니까
저것 보다 주다|저것 좀 보여 주십시오 
저쪽 테이블 옮기다 가능|저쪽 테이블로 옮길 수 있을 까요
제 방 청구 부탁|제 방을 청소해 주십시오 
제 지갑 소매치기|제 지갑을 소매치기 당했습니다 
제 짐 사라지다|제 짐이 없어졌습니다 
제 짐 파손|제 짐이 파손됐습니다
둘러보다 괜찮다|좀 둘러봐도 될까요
이따가 주문|좀 있다가 주문하겠습니다 
중앙 박물관 내리다 어디|중앙 박물관에 가려면 어디서 내려야 하나요
지금 한국 대사관 연락 부탁|지금 한국 대사관으로 연락해 주세요 
진료 원하다 오다|진료 받으러 왔습니다 
진통제 주다|진통제 좀 주십시오 
짐 맡기다 가능|짐을 맡아줄 수 있을까요
창가 자리 부탁|창가 자리로 부탁합니다 
방 탈퇴 승인 원하다|체크아웃하고 싶습니다
방 확인 승인 원하다|체크인하고 싶습니다 
하루 자다 돈 얼마|하룻밤 가격이 얼마인가요
한 사람 당 얼마|한 사람당 얼마예요
화장품 팔다 곳 찾다|화장품 코너를 찾고 있습니다
환불 부탁|환불해 주시겠어요
1500달러 있다|1,500달러를 갖고 있습니다
10달러|10달러입니다
1218호|1218호입니다
12번 출구 가다 길 알리다 부탁|12번 출구로 가는 길을 일러주시겠습니까
1999년 10월|1999년 10월 입니다
2일 있다|2일간 머물려고 합니다
2주 있다|2주 정도요
2주|2주일입니다
4시 30분 차 있다|4시 30분 차 있습니까
5시 40분 무엇|5시 40 분은 어떻습니까
5월 7일 토요일 비행기 취소 부탁|5월 7일 토요일 비행기를 취소해 주십시오
7월 8일 날 NW023|7월 8일자 NW023입니다
7월 12일 날 같은 비행기 예매 부탁|7월12일 자, 같은 비행기편으로 해주세요
7월 23일 2003편 예약 변경 원하다|7월23일 2003편의 예약을 변경하고 싶습니다
커피 달라|Coffee로 주세요
성 무엇|First name이 무엇입니까
홀리데이 인 입니다 돕다 무엇|Holiday Inn입니다 무엇을 도와 드릴까요
LA 목적 비행기 표 주다 부탁|LA까지 편도표를 주세요
가깝다 병원 인도 돕다 부탁|가까운 병원까지 데려다 주세요
가능 면 빨리 진찰 원하다|가능하면 빨리 진찰을 받고 싶군요
가슴 아프다 숨 쉬다 어렵다|가슴이 아픕니다 숨쉬기가 어렵습니다
감사합니다 조심하다 가다|감사합니다 안녕히 계십시오
거기 곳 까지 택시 타다 시간 얼마|거기까지 택시로 얼마나 걸립니까
걷다 시간 10분 정도|걸어서 10분쯤 걸립니다
계산서 여기 있다|계산서가 여기 있습니다
고맙습니다 나 들다|고맙습니다 제가 그냥 들을게요
공항 까지 가다|공항까지 갑시다
과일 야채 있다|과일이나 야채 같은 것을 갖고 있나요
관광차 오다|관광차 왔어요
교환 돕다 무엇|교환입니다 무엇을 도와 드릴까요
기침 심하다 기침 시작 계속 멈추다 못하다|기침이 심해서 한번 기침을 하면 멈출 수가 없습니다
매우 아프다 병원 까지 인도 부탁|너무 아파요병원까지 데려다 주세요
네 넣다 부탁|네, 넣어주세요
네 돕다 무엇|네, 뭘 도와드릴까요
노스웨스트 항공사 입니다 말 부탁|노스웨스트 항공사입니다 말씀하세요
돕다 무엇|무엇을 도와드릴까요
뉴욕 출발 LA 도착 시간 얼마|뉴욕에서 LA까지 얼마입니까
뉴욕 출발 LA 가다 표 예약 원하다|뉴욕에서 LA로 가는 표를 예약하고 싶습니다
다르다 사람 전달 부탁 물건 있다|다른 사람이 전해달라고 부탁한 물건이 있습니다
다리 부러지다|다리가 부러졌습니다
다음 정류장 내리다 부탁|다음 정류장에서 내려 주세요
담배 한 보루 있다 나 피우다 목적 사다|담배 한 보루인데요 제가 피우려고 샀습니다
담배 피우다 가능 방 원하다|담배를 피우는 방을 원합니까
담요 주다 부탁|담요를 좀 주시겠습니까
담요 주다 부탁|담요를 주시겠습니까
당신 이름 무엇|당신 이름이 무엇입니까
도난 신고 원하다|도난 신고를 하려고요
두통 때 좋다 무엇|두통에는 뭐가 좋습니까
두통 심하다|두통이 심합니다
마이애미 도착 비행기 있다|마이애미까지 가는 비행기편이 있습니까
며칠 비행기 원하다 무엇|며칠 자, 어느 비행기로 하시겠습니까
모든 보험 가입|모든 보험에 가입하겠습니다
목 아프다 편도선 있다|목이 아픕니다 편도선이 있습니다
목 아프다|목이 아픕니다
보험 가입 무엇|무슨 보험에 가입하시겠습니까
일 무엇|무슨 일입니까
물 한 컵 부탁|물 한 컵 주시겠어요
물고기 알레르기 있다|물고기 알레르기가 있습니다
도난 무엇|뭘 도난 당하셨죠
마시다 무엇|뭘 마시겠습니까
미국 있다 기간 얼마|미국에서 얼마나 계실 건가요
미안합니다 저 여기 곳 처음 똑같다|미안합니다 저도 여기는 처음입니다
미안합니다 하지만 없다|미안합니다만 없는데요
발 삐었다|발을 삐었습니다
방 번호 무엇|방 번호가 어떻게 됩니까
방 열쇠 잊어버리다|방 열쇠를 잊어 버렸습니다
방문 목적 무엇|방문 목적이 뭐죠
방 열쇠 두고 나오다|방에 열쇠를 두고 나왔습니다
버스 정류장 어디|버스 정류장이 어딥니까
베개 주다 부탁|베개를 주시겠습니까
보스톤 목적 버스 예약 원하다|보스톤 가는 버스를 예약하고 싶은데요
보스톤 목적 자리 예약 원하다|보스톤 가는 좌석을 예약하고 싶은데요
보스톤 목적 열사 타다 곳 맞다 무엇|보스톤 행 열차의 홈이 맞습니까
보통 자리 부탁|보통석으로 부탁합니다
복통 있다|복통이 있습니다
분실물 신고 무엇|분실물 신고계가 어디죠
비행기 번호 무엇|비행기 번호가 어떻게 됩니까
LA 곳 비행기 도착 시간 언제|비행기가 LA에 몇 시에 도착하게 됩니까
사업 목적 오다|사업차 왔어요
사진 포함 신분증 보다 주다 부탁|사진이 있는 신분증을 보여주시겠습니까
설탕 크림 넣다 무엇|설탕과 크림은 넣을까요
성함 무엇|성함이 무엇입니까
세금 포함 돈|세금을 포함한 가격입니까
소형 또 대형차 있다 무엇|소형 또는 대형차가 있습니까
소화제 사다 원하다|소화제를 사고 싶습니다
숙소 어디|숙소는 어디입니까
스테이크 부탁|스테이크로 주세요
돼지고기 부탁|식사로 돼지고기를 주세요
신고 있다 무엇|신고 하실 것 있습니까
신용카드 가지다 있다 무엇|신용 카드를 가지고 있습니까
신용 카드 또 운전 면허 가지다 무엇|신용 카드와 운전 면허가 있습니까
미안합니다 자리 변경 가능 무엇|실례합니다 저하고 지리를 좀 바꿀 수 있을 수 있을까요
